id,title,link,source,source_link,crawled,published_date
829,How does coronavirus spread and how can you protect yourself?,https://www.aljazeera.com/news/2020/01/coronavirus-spread-protect-200130115539072.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:26:19
830,Timeline: How China's new coronavirus spread,https://www.aljazeera.com/news/2020/01/timeline-china-coronavirus-spread-200126061554884.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:25:03
831,Coronavirus: All you need to know about symptoms and risks,https://www.aljazeera.com/news/2020/01/coronavirus-symptoms-vaccines-risks-200122194509687.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:21:12
832,UK confirms first two coronavirus cases,https://www.aljazeera.com/news/2020/01/uk-confirms-coronavirus-cases-200131100102626.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 10:53:04
833,Coronavirus: Pakistan will not evacuate citizens from Wuhan,https://www.aljazeera.com/news/2020/01/coronavirus-pakistan-evacuate-citizens-wuhan-200131055420482.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 07:10:15
834,India's first coronavirus case: Kerala student in Wuhan tested positive,https://www.business-standard.com/article/current-affairs/india-s-first-coronavirus-case-kerala-student-in-wuhan-tested-positive-120013001782_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 01:45:57
835,India confirms first case of coronavirus; patient in Kerala 'stable',https://www.business-standard.com/article/current-affairs/coronavirus-patient-in-kerala-stable-being-closely-monitored-govt-120013000661_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 13:27:04
836,"China coronavirus death toll rises to 170; confirmed cases soar to 7,711",https://www.business-standard.com/article/pti-stories/china-coronavirus-death-toll-rises-to-170-confirmed-cases-soar-to-7-711-120013000187_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 02:37:47
837,Facebook to remove Coronavirus fake news after WHO flags global emergency,https://www.business-standard.com/article/companies/facebook-to-remove-coronavirus-fake-news-after-who-flags-global-emergency-120013100938_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 09:37:00
838,Coronavirus: Spurt in fertiliser import costs seen due to plant closure,https://www.business-standard.com/article/markets/coronavirus-spurt-in-fertiliser-import-costs-seen-due-to-plant-closure-120013100872_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 09:02:00
839,Coronavirus: Air India plane to leave for Beijing to evacuate Indians,https://www.business-standard.com/article/current-affairs/coronavirus-air-india-plane-to-leave-for-beijing-to-evacuate-indians-120013100346_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 04:59:00
840,US tells citizens 'do not travel' to China as Coronavirus spread worsens,https://www.business-standard.com/article/international/us-tells-citizens-do-not-travel-to-china-as-coronavirus-spread-worsens-120013100272_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 04:12:00
841,"Coronavirus: China toll soars to 213, WHO declares world health emergency",https://www.business-standard.com/article/current-affairs/coronavirus-toll-in-china-soars-to-213-number-of-infected-cases-at-9692-120013100180_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 01:50:00
842,"Top events of the day: Economic survey, UK set to leave EU, and more",https://www.business-standard.com/article/current-affairs/top-events-of-the-day-economic-survey-uk-set-to-leave-eu-and-more-120013100168_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 01:21:00
843,WHO declares international emergency over novel coronavirus outbreak,https://www.business-standard.com/article/pti-stories/who-declares-international-emergency-over-novel-coronavirus-120013100091_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 20:55:00
844,"Coronavirus to have little impact on US economy, says Trump adviser",https://www.business-standard.com/article/international/coronavirus-to-have-little-impact-on-us-economy-says-trump-adviser-120013100088_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 20:34:00
845,Many countries 'unprepared' to face Coronavirus: Global health monitor,https://www.business-standard.com/article/pti-stories/many-countries-unprepared-for-china-virus-monitor-120013100060_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 19:40:00
846,Global markets hit hard as indices catch Wuhan flu; Sensex falls 285 pts,https://www.business-standard.com/article/markets/global-markets-hit-hard-as-indices-catch-wuhan-flu-sensex-falls-285-pts-120013100063_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 19:37:00
847,"In a breakthrough, Australia researchers grow coronavirus from cell culture",https://www.business-standard.com/article/pti-stories/aus-scientists-first-to-grow-novel-coronavirus-outside-china-120012900152_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-29 01:45:00
848,India steps up preparations to fight potential coronavirus outbreak,https://www.business-standard.com/article/health/india-steps-up-preparations-to-fight-potential-coronavirus-outbreak-120012801725_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-28 16:45:00
849,Coronavirus outbreak: 3 kept in observation at Delhi's RML Hospital,https://www.business-standard.com/article/pti-stories/three-kept-in-isolation-ward-at-rml-hospital-for-possible-exposure-to-novel-coronavirus-120012800347_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-28 05:45:00
850,First coronavirus case confirmed in Germany: Bavarian health ministry,https://www.business-standard.com/article/pti-stories/first-coronavirus-case-confirmed-in-germany-bavarian-health-ministry-120012800138_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-28 01:25:00
851,Canada's first 'presumptive' coronavirus case detected in Toronto,https://www.business-standard.com/article/pti-stories/canada-reports-first-presumptive-coronavirus-case-120012600082_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-26 02:55:00
852,"Coronavirus: Death toll rises to 56 in China, over 2000 confirmed cases",https://www.business-standard.com/article/pti-stories/death-toll-in-china-s-coronavirus-rises-to-56-confirmed-cases-near-2000-120012600072_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-26 02:30:00
853,Scientists begin work on a vaccine to tackle coronavirus outbreak,https://www.business-standard.com/article/health/scientists-begin-work-on-a-vaccine-to-tackle-coronavirus-outbreak-120012501176_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-25 17:05:00
854,"Wuhan coronavirus outbreak hits South Korea, second person tests positive",https://www.business-standard.com/article/pti-stories/south-korea-confirms-second-coronavirus-case-120012400270_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-24 04:40:00
855,Ten cities in China's Hubei suspend public transportation over coronavirus,https://www.business-standard.com/article/international/ten-cities-in-china-s-hubei-suspend-public-transportation-over-coronavirus-120012400178_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-24 03:37:00
856,Death toll from coronavirus rises to 25 in China with 830 confirmed cases,https://www.business-standard.com/article/pti-stories/death-toll-in-china-s-coronavirus-climbs-to-25-with-830-confirmed-cases-120012400133_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-24 01:40:00
857,Repeat of 2003 SARS crisis? China virus outbreak rattles financial markets,https://www.business-standard.com/article/pti-stories/china-virus-outbreak-may-wallop-economy-financial-markets-120012200837_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-22 10:20:00
858,"Coronavirus outbreak: As toll rises to 9, China warns virus could spread",https://www.business-standard.com/article/pti-stories/death-toll-in-china-s-coronavirus-goes-up-to-9-total-cases-rise-to-440-120012200344_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-22 05:45:00
859,What is Coronavirus? How it spreads? China's new deadly virus explained,https://www.business-standard.com/article/pti-stories/coronavirus-explained-what-you-need-to-know-about-china-s-deadly-virus-120012100922_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:11,2020-01-21 11:10:00
860,"Coronavirus live updates: US raises travel warning, Singapore bans Chinese travelers as outbreak spreads",https://www.cnbc.com/2020/01/31/coronavirus-latest-updates.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 13:40:38
861,5 things to know before the stock market opens Friday,https://www.cnbc.com/2020/01/31/5-things-to-know-before-the-stock-market-opens-january-31-2020.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 13:07:47
862,"Stock market live updates: Dow down 100, Amazon up 10% to $1 trillion, Caterpillar's warning",https://www.cnbc.com/2020/01/31/stock-market-live-updates-dow-down-100-amazon-up-10percent-to-1-trillion.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 13:42:04
863,Novacyt shares jump 32% on launch of coronavirus test,https://www.cnbc.com/2020/01/31/novacyt-shares-jump-32percent-on-launch-of-coronavirus-test.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 09:16:03
864,New coronavirus will likely push China to step up stimulus,https://www.cnbc.com/2020/01/31/new-coronavirus-will-likely-push-china-to-step-up-stimulus.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 11:02:12
865,"Costa Cruises says passenger has common flu, after 6,000 tourists were held amid coronavirus fears",https://www.cnbc.com/2020/01/30/6000-people-in-lockdown-on-italian-cruise-ship-over-coronavirus-fears.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:12,2020-01-31 06:15:25
